Name,Download
sudo,356
libeatmydata1,355
libjpeg-dev,355
eatmydata,353
libjack-jackd2-0,353
libdbusmenu-glib4,351
libz3-dev,351
libnss-systemd,350
pkexec,350
libgfxdr0,349
libglusterfs0,349
libnova-0.16-0,348
libarchive-zip-perl,346
librbd1,346
libgfrpc0,345
libpfm4,344
llvm-14-linker-tools,344
clang-14,343
librte-net23,343
libssh-4,343
libtinfo-dev,342
isolinux,340
libexif12,340
libindi-data,338
libzstd-dev,338
grub-pc-bin,337
intltool-debian,337
mtools,337
libgtk2.0-common,336
libmfx1,336
php-common,336
apache2-bin,335
libc6-dev-i386-cross,334
libgfapi0,333
libipsec-mb1,333
libudfread0,333
python3-debconf,333
python3-tap,333
libbluray2,332
libfreerdp-server2-2,332
linux-libc-dev-i386-cross,332
python3-pycurl,331
debian-faq,330
libxnvctrl0,330
policykit-1,330
apt-listchanges,329
doc-debian,329
libjudydebian1,329
win32-loader,329
hunspell-en-au,328
hunspell-en-ca,328
libayatana-ido3-0.4-0,328
dc,327
libaprutil1-dbd-sqlite3,327
libaprutil1-ldap,327
libdeflate-dev,327
libindidriver1,327
python3-pysimplesoap,327
libgtk2.0-0,326
libjbig-dev,326
liblerc-dev,326
llvm-14-runtime,326
iucode-tool,325
python3-debianbts,325
libvdpau-va-gl1,324
libvulkan1,324
llvm-14-tools,324
libconfig-inifiles-perl,323
libgail-common,323
libgail18,323
libgtk2.0-bin,323
libtiffxx6,323
libwebp-dev,323
gawk,322
indi-dsi,322
libnss-db,322
dh-autoreconf,321
libaec0,321
python3-reportbug,321
firmware-ath9k-htc,320
hdmi2usb-fx2-firmware,320
ixo-usb-jtag,320
libdouble-conversion3,320
libtiff-dev,320
time,320
vdpau-driver-all,320
libsigsegv2,319
live-config-systemd,319
grub-pc,318
reportbug,318
fuse3,317
linux-headers-6.1.0-27-common,317
mariadb-client-core,317
procmail,317
whois,317
libayatana-indicator3-7,316
live-boot-initramfs-tools,316
stress-ng,316
libdbi-perl,314
libunbound8,314
po-debconf,314
libgnutls-dane0,313
linux-headers-6.1.0-26-common,313
live-boot,313
live-config,313
libfontenc1,312
linux-headers-6.1.0-27-amd64,312
mesa-vulkan-drivers,311
zsync,310
libhwloc15,309
libsz2,309
memtest86+,309
apache2-data,308
linux-headers-6.1.0-26-amd64,308
libfcgi-bin,307
libfcgi0ldbl,307
libgcc-s1-i386-cross,307
librte-meter23,307
libtdb1,307
libhwloc-plugins,306
telnet,306
linux-image-6.1.0-27-imx-arm64,305
python3-tz,305
gdisk,304
libvte-2.91-common,304
libcgi-pm-perl,303
libgphoto2-port12,303
librte-ethdev23,303
libtry-tiny-perl,303
lshw,303
libfcgi-perl,301
libvte-2.91-0,301
xfonts-encodings,301
apache2,300
libcgi-fast-perl,300
librabbitmq4,300
mariadb-server-core,300
libcaca0,299
libdbusmenu-gtk3-4,298
libgphoto2-6,298
libgcc-s1-s390x-cross,297
librte-pci23,297
libc6-arm64-cross,296
acl,295
libboost1.74-dev,295
libc6-ppc64el-cross,295
libaacs0,294
libavahi-core7,294
mariadb-client,294
gstreamer1.0-x,293
libaa1,293
libbdplus0,293
libdecor-0-0,293
libdecor-0-plugin-1-cairo,293
libgphoto2-l10n,293
libnfs13,293
libavc1394-0,292
libtag1v5-vanilla,292
libtag1v5,291
libxentoolcore1,291
libc6-dev-s390x-cross,290
libshout3,290
libswscale6,290
libxmlsec1,290
libbrlapi0.8,289
libiec61883-0,289
libqt5core5a,289
librte-bus-pci23,289
runc,289
gstreamer1.0-plugins-good,288
libdv4,288
libpng-tools,288
libslirp0,288
linux-libc-dev-s390x-cross,288
libisns0,287
libvirt-l10n,287
libvirt0,287
libxentoollog1,287
libglx-dev,286
